,LBJ_Q,LBJ_Q_filled,LBJ_Q_combined,SSY_meas,SSY_pred_pre,SSY_pred_post,SSY_pred_combined,SSY_combined
2014-04-30,3691.9999999999995,3886.3323437334207,3691.9999999999995,0.0,18.037650582125853,0.0,18.037650582125853,18.037650582125853
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-19,1998.0,1568.5713773395082,1998.0,5.584345603014149,6.501838964202229,0.0,6.501838964202229,5.584345603014149
2014-05-20,1334.0,826.5365343163248,1334.0,1.5560614781534086,4.300363490854655,0.0,4.300363490854655,1.5560614781534086
2014-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,2340.0,1446.2156037993643,2340.0,10.542851098042323,9.489567825189825,0.0,9.489567825189825,10.542851098042323
2014-05-23,451.0,509.39438427786695,451.0,0.22629438182083253,0.9336071906768757,0.0,0.9336071906768757,0.22629438182083253
2014-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-26,366.0,489.57299990046334,366.0,0.5650682375738334,0.695706497456855,0.0,0.695706497456855,0.5650682375738334
2014-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-29,408.0,557.3829990863178,408.0,1.247503509022056,0.8107266508783342,0.0,0.8107266508783342,1.247503509022056
2014-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-03,252.0,500.00530746751787,252.0,0.2431060194397438,0.4112889946680148,0.0,0.4112889946680148,0.2431060194397438
2014-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05,1742.0,933.9893022569867,1742.0,10.223166889246729,6.262262876389737,0.0,6.262262876389737,10.223166889246729
2014-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-16,1822.0,1363.0549182685336,1822.0,8.144572848360195,5.731840485433498,0.0,5.731840485433498,8.144572848360195
2014-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-02,2499.0,1311.638836184361,2499.0,0.0,10.41016586620464,0.0,10.41016586620464,10.41016586620464
2014-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
