,index,start,end,duration (hrs),sep from
209,209,2014-12-22 02:15:00,2014-12-23 16:30:00,38.25,LBJ PT
210,210,2014-12-26 12:00:00,2014-12-27 03:00:00,15.0,LBJ PT
211,211,2014-12-29 04:15:00,2014-12-29 18:00:00,13.75,LBJ PT
212,212,2015-01-01 05:30:00,2015-01-02 05:45:00,24.25,LBJ PT
213,213,2015-01-02 12:15:00,2015-01-03 08:30:00,20.25,LBJ PT
214,214,2015-01-04 18:30:00,2015-01-05 17:45:00,23.25,LBJ PT
215,215,2015-01-05 18:00:00,2015-01-06 09:45:00,15.75,LBJ PT
216,216,2015-01-07 20:00:00,2015-01-08 05:45:00,9.75,LBJ PT
217,217,2015-01-09 10:30:00,2015-01-10 09:00:00,22.5,LBJ PT
218,218,2015-01-10 09:15:00,2015-01-11 03:00:00,17.75,LBJ PT
219,219,2015-01-13 18:00:00,2015-01-14 05:00:00,11.0,LBJ PT
220,220,2015-01-16 16:30:00,2015-01-16 22:00:00,5.5,LBJ PT
221,221,2015-01-18 00:00:00,2015-01-18 07:45:00,7.75,LBJ PT
222,222,2015-01-20 09:30:00,2015-01-21 02:15:00,16.75,LBJ PT
223,223,2015-01-21 05:30:00,2015-01-22 09:30:00,28.0,LBJ PT
224,224,2015-01-24 21:30:00,2015-01-25 05:00:00,7.5,LBJ PT
225,225,2015-01-26 14:45:00,2015-01-26 22:30:00,7.75,LBJ PT
226,226,2015-01-27 02:15:00,2015-01-27 17:15:00,15.0,LBJ PT
227,227,2015-01-29 07:15:00,2015-01-29 14:15:00,7.0,LBJ PT
228,228,2015-01-29 16:00:00,2015-01-30 22:30:00,30.5,LBJ PT
229,229,2015-01-30 23:30:00,2015-01-31 06:45:00,7.25,LBJ PT
230,230,2015-01-31 12:45:00,2015-02-01 18:30:00,29.75,LBJ PT
231,231,2015-02-05 12:30:00,2015-02-05 22:30:00,10.0,LBJ PT
232,232,2015-02-06 02:15:00,2015-02-06 07:15:00,5.0,LBJ PT
233,233,2015-02-08 01:45:00,2015-02-08 07:00:00,5.25,LBJ PT
234,234,2015-02-08 09:30:00,2015-02-09 07:45:00,22.25,LBJ PT
235,235,2015-02-09 22:15:00,2015-02-10 19:15:00,21.0,LBJ PT
236,236,2015-02-11 23:30:00,2015-02-12 11:30:00,12.0,LBJ PT
237,237,2015-02-12 11:45:00,2015-02-13 08:15:00,20.5,LBJ PT
238,238,2015-02-16 03:45:00,2015-02-16 15:45:00,12.0,LBJ PT
239,239,2015-02-16 16:30:00,2015-02-16 21:45:00,5.25,LBJ PT
240,240,2015-02-17 03:00:00,2015-02-17 15:15:00,12.25,LBJ PT
241,241,2015-02-21 15:45:00,2015-02-23 05:15:00,37.5,LBJ PT
242,242,2015-03-02 11:45:00,2015-03-02 18:00:00,6.25,LBJ PT
243,243,2015-03-06 07:45:00,2015-03-06 16:15:00,8.5,LBJ PT
244,244,2015-03-09 20:30:00,2015-03-10 06:15:00,9.75,LBJ PT
245,245,2015-03-10 20:15:00,2015-03-11 08:45:00,12.5,LBJ PT
246,246,2015-03-14 20:00:00,2015-03-15 08:30:00,12.5,LBJ PT
247,247,2015-03-16 22:00:00,2015-03-17 15:00:00,17.0,LBJ PT
248,248,2015-03-20 07:15:00,2015-03-20 13:00:00,5.75,LBJ PT
249,249,2015-03-22 05:45:00,2015-03-22 10:15:00,4.5,LBJ PT
250,250,2015-03-22 10:30:00,2015-03-23 02:30:00,16.0,LBJ PT
251,251,2015-03-24 00:00:00,2015-03-24 15:30:00,15.5,LBJ PT
252,252,2015-03-25 10:45:00,2015-03-26 06:00:00,19.25,LBJ PT
253,253,2015-03-26 15:45:00,2015-03-27 16:00:00,24.25,LBJ PT
254,254,2015-03-29 17:15:00,2015-03-29 20:00:00,2.75,LBJ PT
255,255,2015-03-29 23:15:00,2015-03-30 07:30:00,8.25,LBJ PT
256,256,2015-03-30 14:15:00,2015-03-30 15:45:00,1.5,LBJ PT
257,257,2015-04-01 12:00:00,2015-04-01 23:45:00,11.75,LBJ PT
258,258,2015-04-02 15:15:00,2015-04-03 16:30:00,25.25,LBJ PT
